"Month","Cor_temp","Cor_temp_p","Cor_temp_adj_p","LowerCI","UpperCI"
4,0.137643450607301,0.00881809543718634,0.132271431557795,0.0306936173551473,0.237553668786664
5,0.116319219003647,0.0156210951534425,0.218695332148195,0.0192588178316042,0.209411120947517
6,0.0773878151693929,0.0904884171461686,1,-0.0174519829264284,0.1686358831069
7,0.106894180035114,0.0201857753720568,0.262415079836739,0.0137543901992284,0.191869567597586
8,0.15489305982296,0.000688085330250163,0.0123855359445029,0.0612134025011465,0.241579070296078
9,-0.0420392168730257,0.376940799211832,1,-0.138394914246098,0.0552956575059934
10,0.167864818631899,0.000944592663525254,0.0160580752799293,0.0682673256890194,0.267659334974707
11,0.155730006905951,0.00422106932261364,0.0675371091618183,0.0789361957373919,0.232100715298733
