"Month","Cor_temp","Cor_temp_p","Cor_temp_adj_p","LowerCI","UpperCI"
4,0.107812112027384,0.0829644472658533,1,-0.00940498230960275,0.209596865268314
5,0.222422792483819,0.000130073858973034,0.00234132946151461,0.117977699525546,0.327022195963701
6,0.165941913755765,0.00238508900562896,0.0357763350844343,0.0597837921501962,0.263332573785643
7,0.171132618317976,0.00124851514620605,0.0199762423392968,0.064813656381996,0.282123722422213
8,0.199875436044389,0.000204812553743411,0.00348181341363798,0.0950202007777356,0.29842910995485
9,0.0831925091941503,0.155324149971482,1,-0.0327590369744081,0.183857988607403
10,0.0184896449999788,0.766087158146514,1,-0.116363173761884,0.152162083740814
11,0.0690091232856858,0.27372055676995,1,0.0231627543080411,0.132804400642231
